ID;Conta;Data;Valor
117;31;2024-07-25;29177.45
118;12;2024-06-02;27328.9
119;33;2023-03-30;9680.54
120;11;2023-03-31;29533.04
121;22;2023-08-08;24361.79
122;22;2023-12-26;20483.36
123;21;2023-07-29;8998.67
124;21;2023-05-14;29610.69
125;32;2023-11-27;16887.12
126;11;2023-12-17;13473.8
127;31;2024-09-18;23672.73
128;31;2023-07-10;2353.76
129;11;2024-01-20;2741.96
130;33;2023-10-16;13533.19
131;11;2023-11-11;6966.7
132;22;2023-06-28;14884.81
133;21;2025-03-26;22682.47
134;12;2024-12-16;12087.82
135;12;2024-05-06;7672.87
136;32;2023-12-05;6137.65
137;32;2023-08-10;15825.28
138;31;2024-12-12;448.43
139;12;2024-10-19;13020.52
140;11;2023-05-21;29796.56
141;32;2024-10-09;3916.85
142;31;2023-10-12;1543.21
143;31;2023-08-01;15542.7
144;12;2025-03-15;16994.47
145;21;2023-07-31;23223.62
146;21;2023-06-22;2907.4
147;31;2024-01-20;2834.56
148;22;2024-03-03;3794.86
149;11;2024-08-05;19528.61
150;11;2024-03-03;17023.15
151;12;2023-04-29;28094.22
152;22;2024-11-25;26284.69
153;31;2024-01-07;28801.1
154;22;2024-05-06;28834.71
155;32;2024-05-19;24001.04
156;21;2023-09-19;24466.17
157;32;2024-05-31;6418.86
158;31;2024-05-16;22359.55
159;32;2024-03-24;4838.82
160;33;2024-10-23;25441.08
161;21;2023-07-21;12313.95
162;32;2025-01-06;14923.17
163;11;2024-07-20;22742.94
164;33;2024-04-13;11225.25
165;33;2024-08-15;27087.86
166;11;2024-03-20;19987.74
167;21;2023-09-21;4690.03
168;21;2024-05-21;1187.57
169;32;2024-03-19;4925.24
170;32;2024-07-24;2894.36
171;33;2023-08-19;22570.17
172;31;2023-07-16;14957.37
173;11;2024-06-15;2600.86
174;33;2025-02-05;23529.42
175;33;2025-01-30;16810.76
176;33;2023-07-10;7255.68
177;12;2025-02-22;11917.06
178;32;2023-11-15;29865.93
179;33;2024-05-31;21512.43
180;11;2024-12-01;10835.68
181;11;2023-05-27;29094.5
182;31;2023-06-20;11898.93
183;21;2023-09-14;11369.52
184;12;2023-05-23;18376.03
185;22;2024-01-29;10472.66
186;22;2024-03-30;2266.78
187;21;2024-12-08;4283.77
188;32;2025-03-26;918.0
189;11;2024-02-13;2779.69
190;31;2025-02-25;28045.77
191;31;2024-08-18;27059.02
192;33;2024-02-03;8044.71
193;11;2024-10-01;14608.82
194;12;2025-01-04;23368.77
195;12;2023-10-28;27427.49
196;12;2023-11-23;7762.28
197;11;2023-04-02;13262.79
198;31;2024-06-15;25413.59
199;12;2023-05-19;16287.51
200;33;2023-10-08;26022.09
201;31;2023-09-29;10398.5
202;11;2023-12-10;21370.75
203;12;2024-02-27;12304.66
204;32;2023-09-05;8263.99
205;11;2023-04-29;26332.13
206;12;2023-09-14;16070.29
207;11;2024-02-22;121.5
208;22;2024-03-23;17744.98
209;33;2023-10-29;4218.32
210;11;2024-05-23;20631.3
211;21;2024-11-18;9584.08
212;33;2023-06-29;18074.02
213;21;2023-06-11;6422.47
214;31;2024-08-26;27093.32
215;32;2025-02-19;23716.07
216;32;2025-02-27;7171.63
217;12;2024-09-08;15897.98
218;22;2024-09-27;20473.43
219;11;2025-02-22;14870.73
220;12;2023-10-08;18525.1
221;33;2025-01-11;21681.38
222;12;2023-04-19;13193.73
223;21;2024-01-23;8432.59
224;33;2025-01-14;14339.6
225;12;2023-05-25;25171.51
226;33;2023-07-11;29828.39
227;12;2024-06-27;28634.5
228;32;2024-06-30;24228.94
229;22;2024-05-14;14159.16
230;33;2023-04-07;20920.75
231;31;2024-10-16;8503.14
232;31;2023-12-29;21041.46
233;11;2023-08-16;29116.99
234;11;2024-03-21;26053.36
235;11;2025-01-06;22858.32
236;33;2023-11-09;3300.14
237;31;2025-01-21;26970.84
238;22;2025-03-12;28662.3
239;33;2025-03-19;23138.04
240;32;2024-08-06;538.06
241;12;2023-12-30;1505.5
242;21;2024-11-30;12399.77
243;31;2024-11-25;19973.64
244;32;2023-10-05;8426.92
245;33;2023-07-04;14396.21
246;32;2023-09-13;17051.86
247;22;2023-04-24;25811.78
248;21;2024-09-25;4621.81
249;22;2024-10-13;23561.41
250;21;2024-02-12;27141.41
251;12;2024-09-09;8383.38
252;31;2024-01-03;14810.13
253;21;2024-01-25;5048.69
254;31;2023-06-10;11524.7
255;33;2024-10-26;11267.19
256;22;2024-06-11;12839.36
257;32;2024-05-30;2356.52
258;33;2023-12-17;25824.43
259;11;2024-12-03;21393.48
260;22;2024-03-18;540.04
261;11;2024-10-11;6826.03
262;31;2023-08-02;10380.47
263;32;2024-03-10;16985.55
264;33;2024-04-21;24517.28
265;32;2024-01-30;5803.3
266;12;2024-01-07;28285.33
267;22;2023-09-17;15394.1
268;31;2023-09-18;27100.86
269;12;2024-11-20;7856.81
270;11;2024-01-01;10949.52
271;32;2024-01-03;4973.99
272;22;2025-02-01;21988.81
273;11;2025-01-16;5237.26
274;32;2024-12-01;4367.4
275;22;2023-03-30;22225.4
276;12;2024-10-15;18345.48
277;32;2023-07-15;29072.95
278;12;2023-10-08;27809.41
279;21;2024-06-30;10996.95
280;33;2024-12-30;23643.7
281;12;2023-09-30;11274.37
282;33;2023-09-08;17232.39
283;32;2023-08-30;28102.3
284;21;2024-09-14;29728.88
285;32;2023-11-14;24328.83
286;32;2023-07-07;15844.17
287;11;2023-05-12;26909.82
288;12;2023-11-10;14027.35
289;12;2023-10-28;14227.36
290;31;2023-08-08;17217.75
291;11;2024-06-01;24233.68
292;12;2025-03-20;15601.24
293;32;2024-02-17;20376.47
294;11;2024-08-24;18357.06
295;31;2023-07-14;14030.04
296;21;2024-07-09;13847.85
297;22;2023-08-09;4810.45
298;22;2025-02-03;24906.66
299;12;2024-11-07;27071.58
300;22;2024-08-28;22162.73
301;12;2024-12-03;3067.03
302;12;2024-03-19;27721.56
303;12;2023-08-24;9445.64
304;11;2023-10-14;3367.17
305;21;2024-02-10;256.78
306;12;2023-05-04;18316.92
307;33;2024-05-15;7970.89
308;22;2023-11-23;6256.46
309;11;2024-09-21;15881.22
310;32;2024-01-02;4327.53
311;33;2024-03-02;6326.1
312;31;2024-12-12;5181.63
313;22;2023-09-05;20135.57
314;33;2023-09-17;12452.51
315;22;2025-03-04;24550.23
316;12;2023-09-01;8874.07
317;11;2024-02-19;19019.19
318;33;2024-07-26;19425.67
319;31;2025-02-06;26451.94
320;32;2023-11-20;25582.06
321;33;2023-09-20;27263.13
322;33;2023-08-09;8678.89
323;31;2024-07-18;4298.56
324;11;2023-10-14;6068.35
325;33;2023-11-15;16980.52
326;33;2024-04-28;16679.63
327;11;2025-03-25;20449.54
328;11;2023-09-29;21341.26
329;11;2024-10-07;26170.87
330;33;2025-01-14;20231.17
331;11;2024-01-17;5842.95
332;21;2023-06-12;10709.85
333;21;2024-03-16;1996.67
334;32;2024-01-27;5414.41
335;31;2024-02-27;13097.34
336;32;2025-02-08;14106.76
337;21;2023-07-26;17105.16
338;12;2023-09-27;17144.7
339;31;2024-09-08;21315.78
340;31;2024-06-09;21991.05
341;12;2024-09-28;10016.0
342;22;2024-12-20;19466.72
343;11;2025-02-07;20547.67
344;22;2023-11-16;2024.14
345;32;2024-08-16;14472.82
346;32;2025-02-03;27561.42
347;12;2023-09-14;1435.58
348;22;2025-02-26;11692.22
349;33;2024-12-29;7064.42
350;31;2025-01-18;18404.01
351;32;2023-07-11;19909.13
352;22;2024-02-08;1414.31
353;11;2024-12-20;10452.7
354;22;2023-09-13;27027.13
355;21;2023-09-30;29855.56
356;31;2023-09-23;3408.54
357;33;2024-04-02;21093.83
358;12;2023-10-12;12929.42
359;33;2023-10-05;10008.88
360;31;2023-05-06;20404.18
361;21;2024-10-25;9215.49
362;32;2024-10-13;10001.63
363;21;2024-04-15;25836.51
364;12;2024-06-12;1845.69
365;21;2025-02-13;23018.53
366;12;2023-06-15;22183.1
367;32;2023-07-25;14199.46
368;22;2024-01-15;20827.56
369;12;2024-07-02;1804.63
370;31;2023-09-02;29414.71
371;22;2025-01-16;2832.01
372;32;2023-12-20;11548.33
373;33;2024-06-13;4301.27
374;31;2025-03-08;4209.95
375;22;2024-03-24;6108.84
376;31;2024-04-30;14193.23
377;22;2023-11-16;16620.29
378;33;2023-07-12;6975.67
379;22;2023-12-27;13214.75
380;11;2024-12-17;25993.57
381;31;2024-10-19;12293.18
382;21;2023-07-17;4294.93
383;22;2023-04-09;14892.13
384;21;2023-07-12;29192.42
385;33;2024-09-17;5137.81
386;12;2023-05-08;6214.73
387;11;2024-10-22;13388.92
388;32;2023-09-16;23446.28
389;11;2023-09-14;6901.92
390;11;2024-05-22;7812.01
391;22;2024-03-05;26383.29
392;33;2025-02-25;11458.68
393;32;2023-07-16;22465.65
394;31;2023-08-09;3108.22
395;21;2024-11-09;11817.41
396;11;2024-11-12;948.43
397;12;2024-05-06;4526.89
398;31;2024-03-16;17398.6
399;21;2024-04-01;6480.43
400;22;2024-03-29;8441.81
401;32;2024-09-22;22342.5
402;12;2024-08-07;919.58
403;31;2024-05-01;25428.92
404;22;2024-12-25;9495.03
405;21;2025-03-08;1175.05
406;12;2023-09-23;13760.57
407;11;2023-12-03;4810.86
408;11;2024-06-03;1282.08
409;12;2023-06-05;25569.2
410;33;2023-08-23;9149.83
411;32;2023-06-21;23750.13
412;31;2023-10-30;18185.78
413;21;2025-02-21;1044.56
414;22;2025-03-20;14892.1
415;12;2023-12-07;15573.76
416;31;2025-01-01;24602.11
417;22;2024-10-20;9381.58
418;11;2025-01-03;27601.42
419;22;2024-12-03;11549.46
420;22;2023-11-24;4188.68
421;31;2024-07-23;22222.53
422;32;2023-10-15;26764.29
423;12;2024-05-26;24869.46
424;11;2023-09-29;3858.73
425;31;2023-06-11;11659.67
426;11;2024-07-27;22190.23
427;31;2025-03-04;10010.02
428;21;2023-10-16;11018.34
429;31;2024-07-31;19532.67
430;12;2024-08-29;21700.29
431;21;2024-09-06;15186.52
432;22;2024-07-13;1796.51
433;11;2025-01-24;6705.74
434;32;2023-10-27;29927.25
435;11;2023-07-28;15034.55
436;21;2024-10-09;14783.9
437;33;2023-09-06;16151.03
438;33;2023-10-30;14762.32
439;31;2023-06-16;25562.96
440;32;2024-01-13;5182.57
441;32;2024-02-24;8187.63
442;31;2024-02-19;12861.1
443;33;2025-01-29;8735.1
444;12;2024-05-21;18551.39
445;22;2023-11-04;20338.74
446;22;2023-07-17;24573.66
447;11;2024-01-20;14144.94
448;32;2023-06-09;9821.27
449;21;2025-02-20;11538.6
450;33;2024-07-17;19319.34
451;33;2023-04-28;4194.21
452;22;2024-08-09;24475.96
453;31;2023-07-25;26490.99
454;12;2023-05-01;14563.26
455;21;2024-10-06;26746.15
456;33;2025-03-24;4345.48
457;21;2023-04-20;23923.12
458;33;2023-10-06;13208.1
459;22;2024-10-14;2616.51
460;33;2024-02-19;22462.43
461;22;2023-04-18;10899.08
462;31;2023-06-20;14306.63
463;31;2023-06-04;13952.81
464;33;2023-04-21;28339.67
465;22;2024-08-31;2230.23
466;32;2023-07-07;15896.99
467;12;2024-02-28;7014.25
468;32;2025-03-11;16792.52
469;33;2023-06-12;2436.06
470;21;2024-11-12;20302.35
471;22;2024-02-15;1651.35
472;11;2024-04-12;18388.65
473;12;2024-10-20;15420.61
474;12;2023-05-21;7320.85
475;32;2024-05-25;28207.24
476;31;2023-10-12;20859.91
477;22;2024-01-22;4645.3
478;32;2023-05-13;27387.76
479;32;2024-02-13;26850.83
480;21;2023-11-30;23697.95
481;33;2023-08-26;23808.81
482;22;2024-03-04;22184.5
483;31;2023-08-27;22375.92
484;22;2023-10-27;19887.73
485;33;2023-11-09;8354.05
486;21;2023-04-22;28980.1
487;31;2025-03-19;5621.25
488;12;2024-08-29;7383.18
489;11;2024-01-05;19300.44
490;31;2024-01-04;12018.79
491;12;2024-03-19;16334.59
492;12;2025-03-18;25173.6
493;33;2024-08-22;7873.3
494;33;2023-09-15;10779.59
495;22;2025-02-05;4030.63
496;21;2024-12-19;28817.7
497;33;2023-10-31;27305.34
498;21;2023-06-16;2894.06
499;11;2023-10-14;24076.7
500;21;2024-11-19;29719.02
501;11;2024-08-15;6737.84
502;32;2023-11-07;12141.93
503;21;2023-05-25;16941.79
504;22;2024-07-11;9883.88
505;21;2024-08-02;9035.94
506;22;2025-02-22;1709.13
507;11;2023-10-28;17196.09
508;11;2023-09-26;11543.49
509;22;2023-10-15;29637.95
510;11;2023-05-14;22574.79
511;22;2024-03-30;22305.56
512;11;2023-04-25;1916.62
513;12;2023-12-17;21558.83
514;33;2023-09-06;11321.67
515;21;2023-08-08;17232.95
516;33;2024-07-06;19582.77
517;31;2023-11-25;3513.71
518;22;2023-08-13;20250.79
519;21;2024-04-12;23613.55
520;11;2023-09-12;4663.43
521;33;2025-01-26;27194.77
522;32;2023-08-09;9113.14
523;21;2023-09-03;1001.69
524;12;2023-06-27;22245.64
525;31;2025-01-16;15208.43
526;21;2024-03-28;11551.89
527;33;2024-12-26;12569.72
528;22;2024-11-13;13281.09
529;22;2024-03-07;16179.46
530;12;2024-09-18;26762.64
531;21;2024-04-07;4012.88
532;21;2024-10-21;22720.41
533;31;2023-05-27;25039.65
534;33;2025-01-27;17320.87
535;11;2024-02-06;25639.16
536;22;2025-01-09;22487.07
537;12;2025-01-05;14631.25
538;32;2023-09-29;13069.36
539;31;2025-01-14;8900.52
540;12;2024-11-21;28117.95
541;22;2025-03-10;3527.79
542;11;2024-06-12;382.48
543;12;2023-09-23;29477.44
544;32;2023-10-20;895.27
545;12;2024-05-02;1161.74
546;31;2025-03-15;26113.18
547;11;2023-04-18;3104.75
548;33;2023-04-06;9493.71
549;33;2024-01-13;21163.46
550;12;2024-04-23;11565.08
551;22;2023-08-20;3131.04
552;21;2023-06-10;18796.78
553;32;2024-06-11;14756.99
554;22;2024-04-09;29052.18
555;32;2024-06-22;9830.77
556;11;2024-10-11;25611.01
557;12;2024-07-12;28667.06
558;33;2024-01-03;15311.28
559;33;2024-10-13;16962.82
560;32;2024-07-05;3398.67
561;33;2023-06-28;7657.15
562;22;2024-09-25;2677.68
563;11;2023-12-28;15751.79
564;21;2023-10-13;29586.37
565;22;2024-10-04;114.38
566;12;2023-09-20;25009.26
567;31;2024-12-01;141.73
568;12;2024-05-08;16697.82
569;32;2023-10-16;18990.09
570;22;2023-11-28;6957.18
571;11;2024-03-25;106.35
572;11;2023-06-13;24643.01
573;22;2023-06-06;13491.79
574;12;2024-02-14;13880.4
575;22;2024-04-15;19875.11
576;12;2024-12-22;24898.16
577;21;2024-11-06;16756.76
578;33;2024-10-09;16247.64
579;12;2023-09-01;6001.48
580;22;2024-03-18;8345.5
581;32;2024-02-06;22709.23
582;31;2024-10-07;207.33
583;31;2024-06-02;8668.79
584;32;2023-12-20;8278.87
585;31;2024-06-06;5162.7
586;21;2025-02-07;25230.12
587;12;2024-02-26;21221.42
588;31;2024-09-28;18599.82
589;32;2024-05-17;23021.54
590;32;2023-08-15;26431.18
591;22;2024-12-31;18491.02
592;21;2024-04-16;22334.23
593;31;2024-09-06;29786.13
594;12;2025-02-16;21824.38
595;31;2024-09-13;21552.36
596;33;2024-04-17;24825.62
597;31;2024-03-23;12732.06
598;21;2024-06-13;10394.24
599;22;2024-09-09;11818.01
600;31;2023-04-17;492.39
601;32;2024-12-16;4218.22
602;12;2025-02-24;1366.11
603;11;2024-02-23;23308.14
604;21;2024-03-27;17469.79
605;21;2023-09-07;13099.5
606;32;2024-02-28;21728.24
607;32;2024-02-26;24132.47
608;33;2024-07-18;10181.46
609;21;2024-01-05;17885.12
610;31;2024-09-27;15312.46
611;33;2024-07-29;21761.4
612;21;2024-09-09;26817.65
613;21;2025-02-01;8293.7
614;12;2024-10-31;19113.5
615;22;2025-01-22;21742.3
616;21;2024-12-09;12126.01
617;22;2024-11-26;27566.28
618;32;2024-11-03;2955.99
619;21;2025-01-24;29457.05
620;21;2024-08-20;26512.83
621;11;2025-03-10;25805.15
622;22;2023-12-16;5265.45
623;31;2024-10-06;9423.66
624;21;2024-01-09;10158.46
625;31;2025-01-21;9787.39
626;31;2024-03-11;10845.11
627;33;2023-04-28;20713.33
628;33;2023-09-21;18090.58
629;32;2024-10-24;6287.56
630;12;2023-06-15;152.05
631;33;2024-02-20;11937.65
632;21;2023-11-02;321.29
633;22;2023-04-10;16214.76
634;33;2025-01-28;15506.52
635;12;2024-07-16;15338.93
636;21;2023-06-22;23203.22
637;12;2024-07-13;26787.99
638;12;2024-01-11;7976.34
639;21;2024-05-13;329.06
640;21;2023-05-21;21694.85
641;12;2024-05-21;24769.71
642;32;2023-11-26;12237.05
643;22;2023-05-04;9074.42
644;11;2023-12-30;14313.93
645;12;2024-02-15;5911.75
646;11;2023-09-12;22610.46
647;31;2023-08-25;9768.47
648;21;2023-08-20;15120.29
649;21;2024-03-12;1401.21
650;21;2023-09-20;19123.27
651;12;2023-11-26;7933.02
652;11;2023-09-10;29757.25
653;31;2024-04-24;21706.47
654;12;2023-12-23;16022.87
655;21;2024-09-15;8362.29
656;22;2024-06-26;16418.64
657;31;2024-09-01;22294.36
658;11;2023-06-11;20482.22
659;32;2023-06-23;1784.91
660;21;2023-04-29;16330.21
661;33;2024-04-05;13299.38
662;32;2023-08-25;8349.98
663;21;2023-06-22;23159.07
664;12;2024-03-20;6619.5
665;31;2023-09-11;13898.43
666;12;2024-02-24;26796.51
667;11;2023-10-21;12659.24
668;32;2024-07-30;13808.73
669;21;2024-05-26;11710.67
670;33;2024-02-27;8254.78
671;33;2025-02-26;26020.73
672;22;2024-01-11;27106.24
673;12;2024-10-20;9824.57
674;21;2023-07-12;25356.8
675;12;2024-10-02;12862.6
676;33;2023-05-16;21458.7
677;31;2023-09-12;20381.55
678;31;2025-01-29;13684.25
679;22;2023-08-04;26654.89
680;21;2025-03-19;25623.38
681;32;2024-01-24;29956.98
682;33;2023-05-31;59.02
683;22;2024-05-18;28909.11
684;11;2025-02-05;10503.95
685;11;2023-06-11;20240.27
686;11;2025-02-28;15733.14
687;11;2024-07-08;17274.64
688;12;2023-10-26;17612.79
689;12;2023-04-16;16310.47
690;12;2025-03-23;3062.14
691;32;2023-10-24;14781.11
692;12;2023-06-26;8513.33
693;22;2023-12-26;7023.64
694;33;2024-04-08;15588.82
695;12;2024-10-20;10150.21
696;31;2023-11-09;6203.41
697;22;2023-08-12;24444.39
698;31;2024-05-25;19663.81
699;31;2025-03-21;5264.93
700;32;2025-03-16;17535.96
701;21;2024-11-25;27125.1
702;31;2024-03-09;8735.67
703;22;2025-01-11;6866.47
704;31;2024-12-22;12180.21
705;12;2023-08-26;16785.78
706;21;2023-11-18;14438.96
707;22;2024-05-21;13664.78
708;11;2023-05-16;9422.23
709;21;2023-11-22;20729.05
710;32;2023-06-11;18946.48
711;22;2023-06-20;24817.84
712;22;2023-06-21;2470.3
713;21;2024-10-24;10309.53
714;12;2023-08-09;8305.5
715;21;2023-05-02;28448.68
716;33;2024-08-16;23601.33
717;11;2023-07-13;9366.07
718;12;2025-03-25;17482.1
719;31;2023-07-13;25620.58
720;12;2024-09-29;29859.86
721;31;2025-02-24;20059.89
722;11;2024-09-02;20892.88
723;33;2024-10-01;7553.37
724;31;2023-07-05;20165.87
725;21;2024-12-28;22717.47
726;32;2023-04-19;23080.59
727;21;2023-05-04;21674.75
728;32;2023-08-07;25486.74
729;22;2023-11-07;9127.38
730;11;2024-10-17;22728.2
731;11;2023-07-25;10944.38
732;22;2024-11-23;15945.82
733;21;2025-02-28;17065.98
734;31;2023-08-18;7000.78
735;21;2024-04-17;5352.67
736;31;2024-08-30;29867.7
737;22;2024-09-21;3600.49
738;22;2024-03-06;8840.58
739;21;2024-03-30;23945.65
740;11;2023-08-15;8866.58
741;11;2025-03-22;13094.59
742;32;2023-09-29;27579.27
743;33;2023-05-02;29144.9
744;22;2023-05-22;28861.35
745;21;2024-11-02;2586.12
746;32;2024-11-30;2852.67
747;22;2023-07-01;5737.76
748;11;2023-09-06;27476.68
749;32;2023-04-06;21971.69
750;21;2024-09-02;6838.98
751;31;2023-11-20;1714.34
752;12;2023-10-01;27506.35
753;21;2024-07-22;26827.49
754;33;2023-09-05;14374.7
755;21;2023-11-08;29689.3
756;12;2024-05-24;4603.42
757;12;2024-08-20;4364.67
758;22;2024-01-21;29916.4
759;11;2023-05-22;12585.41
760;31;2024-12-22;20263.04
761;12;2023-09-19;17301.17
762;33;2023-08-19;5129.62
763;22;2025-03-08;4644.6
764;31;2025-02-08;16956.64
765;32;2023-04-18;19465.61
766;33;2024-10-20;3923.62
767;21;2024-11-07;21106.8
768;32;2023-08-06;6398.56
769;12;2024-11-01;24661.92
770;32;2024-10-20;29975.13
771;22;2024-04-18;19126.44
772;12;2023-07-03;18828.83
773;33;2023-11-16;23122.0
774;22;2023-11-22;13692.92
775;31;2025-02-17;10417.18
776;11;2024-08-10;26256.34
777;31;2024-11-06;15471.22
778;12;2024-07-09;26449.06
779;21;2024-12-28;24465.58
780;31;2024-04-19;17758.85
781;12;2024-07-30;28370.16
782;21;2024-01-07;22347.77
783;11;2024-03-10;19533.57
784;21;2024-10-24;5263.96
785;31;2024-03-29;29672.4
786;21;2024-12-04;12210.53
787;33;2024-06-09;15320.16
788;12;2023-06-05;17403.71
789;32;2024-01-11;22227.97
790;32;2025-01-20;24797.78
791;22;2024-07-06;6430.24
792;11;2023-04-26;426.68
793;11;2025-02-24;6375.17
794;21;2024-10-17;29585.66
795;32;2024-06-06;22218.19
796;33;2024-06-10;15758.56
797;32;2024-12-27;3474.04
798;21;2024-01-07;14028.23
799;32;2023-05-13;11639.11
800;11;2024-11-29;13398.13
801;32;2024-08-19;25943.41
802;31;2023-10-25;7057.85
803;11;2023-10-18;19194.25
804;12;2024-11-10;14931.88
805;32;2024-12-20;23541.84
806;33;2024-09-23;16395.68
807;32;2023-12-07;28019.95
808;22;2024-01-27;18846.7
809;31;2025-02-18;14899.97
810;11;2023-06-27;29322.3
811;11;2024-05-18;8204.2
812;32;2025-01-09;12665.1
813;11;2024-10-04;21314.48
814;31;2025-03-02;24956.71
815;21;2024-09-28;4201.88
816;31;2023-09-09;5660.76
817;33;2024-10-26;6389.79
818;33;2024-06-13;11679.11
819;22;2023-06-18;435.9
820;22;2023-06-11;25356.98
821;21;2023-11-09;26696.5
822;11;2024-10-19;1099.76
823;12;2024-02-26;7656.45
824;11;2024-01-17;28638.04
825;21;2024-09-19;2027.87
826;31;2025-01-29;23308.46
827;32;2024-02-14;2848.66
828;12;2023-06-23;10483.36
829;21;2023-06-17;28701.33
830;21;2023-09-15;6630.64
831;12;2024-05-11;10719.91
832;32;2024-06-06;10273.42
833;11;2024-06-02;20039.83
834;22;2024-08-27;16792.95
835;31;2023-07-20;27897.78
836;33;2023-06-03;14732.55
837;33;2023-04-29;21431.67
838;33;2023-08-12;27538.53
839;31;2024-11-16;19324.34
840;31;2025-01-05;21933.49
841;12;2023-07-27;24752.56
842;31;2023-10-01;14786.02
843;31;2024-06-14;5723.7
844;22;2024-03-08;2080.65
845;22;2025-01-27;3110.76
846;21;2023-08-07;4500.67
847;11;2023-09-05;29378.8
848;11;2023-12-08;13722.02
849;12;2024-08-06;7868.27
850;11;2025-01-23;23436.87
851;11;2023-08-11;7311.74
852;12;2024-10-10;29071.63
853;11;2023-06-09;23055.95
854;31;2024-12-18;939.37
855;11;2023-07-08;12530.56
856;32;2023-05-14;26716.54
857;33;2024-12-22;27310.64
858;33;2023-06-28;25095.17
859;31;2023-07-24;5160.31
860;12;2024-11-27;26579.96
861;12;2023-04-30;5312.65
862;32;2023-11-13;13989.85
863;12;2024-12-27;5475.06
864;22;2024-10-11;11340.56
865;11;2023-07-04;3903.76
866;11;2025-01-25;2617.8
867;12;2023-09-16;6480.34
868;21;2023-08-18;23019.96
869;21;2023-05-08;17686.02
870;21;2024-07-02;1750.78
871;33;2023-07-05;28509.97
872;22;2023-07-10;12171.77
873;32;2023-09-03;21537.47
874;31;2023-05-27;17110.09
